# Labs+production wiki,group,edit size in 2016
enwiki,1,675849233
wikidatawiki,2,262672760
commonswiki,3,186147553
dewiki,4,143177459
jawiki,4,57783456
itwiki,5,76140013
ruwiki,5,73060171
frwiki,6,120965605
eswiki,6,72672655
nlwiki,7,43853157
ptwiki,7,42513795
plwiki,7,42509616
zhwiki,8,38417198
enwiktionary,8,37465364
svwiki,8,35052902
shwiki,8,33506101
mgwiktionary,9,20228737
frwiktionary,9,19881338
viwiki,9,18401564
nowiki,9,15727221
trwiki,9,15595001
huwiki,10,15247992
metawiki,10,15182371
fiwiki,10,15027822
hewiki,10,14840945
ukwiki,10,14787995
arwiki,10,14550135
fawiki,11,14071138
cawiki,11,13685020
cswiki,11,13115176
kowiki,11,12427987
srwiki,11,11368979
idwiki,11,11033502
cebwiki,14,9638105
dawiki,14,8194270
rowiki,14,8167548
bgwiki,14,6954448
ruwiktionary,14,6439760
warwiki,14,6122929
enwikisource,14,6038943
skwiki,12,6021397
thwiki,12,6021036
frwikisource,12,5773537
eowiki,12,5763268
elwiki,12,5571574
euwiki,12,5377713
simplewiki,12,5021449
plwiktionary,12,4932582
dewiktionary,12,4915642
ltwiki,12,4771329
zhwiktionary,12,4508184
slwiki,12,4467680
hrwiki,12,4447694
etwiki,12,4273784
hywiki,12,4210163
enwikinews,12,4050155
eswiktionary,12,3949938
glwiki,12,3847449
mswiki,12,3681827
elwiktionary,12,3570905
incubatorwiki,12,3409248
vowiki,12,3161692
kowiktionary,12,3157309
srwikinews,12,3128440
azwiki,12,3127757
lawiki,12,3026189
kawiki,12,2974074
mkwiki,12,2872383
nlwiktionary,12,2805963
nnwiki,12,2786743
fiwiktionary,12,2776945
dewikisource,12,2746680
hiwiki,12,2667571
enwikibooks,12,2612061
specieswiki,12,2596119
itwiktionary,12,2519788
lvwiki,12,2443812
bswiki,12,2382324
enwikivoyage,12,2368629
kkwiki,12,2286466
bewiki,12,2277714
mlwiki,12,2234213
svwiktionary,12,2216245
iowiktionary,12,2185624
bnwiki,12,2173490
ruwikisource,12,2156917
urwiki,12,2087080
ptwiktionary,12,2042769
huwiktionary,12,2023056
tawiki,12,1995172
enwikiquote,12,1979292
ocwiki,12,1941004
mediawikiwiki,12,1940049
ttwiki,12,1890270
lbwiki,12,1846328
uzwiki,12,1838083
tewiki,12,1837623
trwiktionary,12,1799492
be_x_oldwiki,12,1762858
cywiki,12,1725041
viwiktionary,12,1697491
brwiki,12,1660145
sqwiki,12,1561720
ltwiktionary,12,1549864
itwikisource,12,1545150
anwiki,12,1517060
enwikiversity,12,1473452
iswiki,12,1471552
kuwiktionary,12,1466789
shwiktionary,12,1438696
tlwiki,12,1432964
afwiki,12,1427024
tawiktionary,12,1424223
zh_min_nanwiki,12,1405462
mrwiki,12,1338674
minwiki,12,1318116
cewiki,12,1301776
plwikisource,12,1162459
bgwiktionary,12,1048991
jvwiki,12,1035578
zh_yuewiki,12,993496
astwiki,12,977757
swwiki,12,961145
itwikinews,12,914136
jawiktionary,12,888503
etwiktionary,12,877504
nowiktionary,12,874139
dewikivoyage,13,872792
iowiki,13,861161
newwiki,13,832101
pmswiki,13,821942
cawiktionary,13,812973
tewiktionary,13,812292
tgwiki,13,801762
gawiki,13,790766
idwiktionary,13,786444
rowiktionary,13,777364
itwikiquote,13,770063
fywiki,13,767204
eswikisource,13,756144
bpywiki,13,750159
mgwiki,13,744994
ndswiki,13,739786
cswiktionary,13,708232
scnwiki,13,696713
arzwiki,13,693696
hewikisource,13,692583
fawiktionary,13,688404
lmowiki,13,686293
htwiki,13,684155
dewikinews,13,681069
dewikibooks,13,669808
knwiki,13,665313
alswiki,13,649025
mywiktionary,13,631460
frwikinews,13,627907
kuwiki,13,619995
thwiktionary,13,619104
quwiki,13,610850
bnwikisource,13,586355
bawiki,13,586067
barwiki,13,579109
knwiktionary,13,577337
glwiktionary,13,572862
napwiki,13,569203
hywiktionary,13,568219
cvwiki,13,558660
vecwiki,13,552253
arwiktionary,13,550104
iawiki,13,535323
frwikiversity,13,531144
chrwiktionary,13,520736
newiki,13,518582
scowiki,13,517450
gdwiki,13,500434
liwiktionary,13,487284
yowiki,13,483998
yiwiki,13,477943
eswikinews,13,476658
mlwiktionary,13,467290
suwiki,13,459899
zhwikisource,13,458392
frwikibooks,13,453292
ckbwiki,13,450078
mnwiki,13,448405
ruwikinews,13,446217
oswiki,13,444481
pnbwiki,13,435562
plwikiquote,13,431352
dewikiversity,13,418077
guwiki,13,415712
tawikisource,13,412639
uzwiktionary,13,409452
itwikivoyage,13,403900
nahwiki,13,400691
srwiktionary,13,397182
liwiki,13,390382
lowiktionary,13,388015
dewikiquote,13,384945
ganwiki,13,384760
sawiktionary,13,383079
sawiki,13,369937
ptwikibooks,13,368990
simplewiktionary,13,367799
bhwiki,13,343119
siwiki,13,339646
fowiki,13,328137
hsbwiki,13,325626
bat_smgwiki,13,323741
amwiki,13,323713
pawiki,13,319932
sahwiki,13,318641
frwikivoyage,13,318403
mywiki,13,314948
wawiki,13,312978
eswikiquote,13,297551
hiwiktionary,13,290467
svwikisource,13,288312
gvwiki,13,282911
euwiktionary,13,280223
vlswiki,13,278134
eowiktionary,13,271962
itwikibooks,13,270777
pamwiki,13,270739
nds_nlwiki,13,269274
cowiki,13,266897
sewiki,13,263490
ruwikiquote,13,261405
ilowiki,13,259779
eswikibooks,13,257937
sourceswiki,13,247003
nlwikibooks,13,243441
ocwiktionary,13,243050
azwiktionary,13,243050
fawikinews,13,242709
zh_classicalwiki,13,237551
ptwikisource,13,237322
orwiki,13,235022
huwikibooks,13,231875
test2wiki,13,231297
testwiki,13,230493
diqwiki,13,226705
kywiki,13,222657
ukwiktionary,13,219360
hewiktionary,13,215994
dawiktionary,13,215989
iswiktionary,13,214370
mtwiki,13,213523
brwiktionary,13,212370
arwikisource,13,211774
hifwiki,13,208774
hrwiktionary,13,207445
nrmwiki,13,200849
frwikiquote,13,199837
plwikinews,13,198735
szlwiki,13,190223
map_bmswiki,13,189376
plwikibooks,13,188959
tkwiki,13,186410
bugwiki,13,185112
mnwiktionary,13,181978
vowiktionary,13,174563
angwiki,13,173605
kmwiki,13,172594
ptwikinews,13,172360
frpwiki,13,168080
pswiki,13,165426
wawiktionary,13,163722
kshwiki,13,163000
furwiki,13,160668
trwikinews,13,159677
kwwiki,13,158566
fiu_vrowiki,13,158150
bclwiki,13,157595
csbwiki,13,157474
wuuwiki,13,157178
fjwiktionary,13,154232
astwiktionary,13,152656
ladwiki,13,150143
tewikisource,13,149498
ptwikiquote,13,148389
orwiktionary,13,147955
lijwiki,13,146896
nvwiki,13,146227
lawiktionary,13,145354
mhrwiki,13,144961
sowiki,13,144499
scnwiktionary,13,141863
mlwikisource,13,141207
aswiki,13,140670
miwiki,13,139311
scwiki,13,138158
gomwiki,13,138069
jawikinews,13,135439
slwikisource,13,132112
mznwiki,13,131963
cywiktionary,13,129920
roa_tarawiki,13,129884
rmwiki,13,129846
ruwikivoyage,13,129639
kowikisource,13,128988
crhwiki,13,127648
tlwiktionary,13,124629
cswikisource,13,123987
zh_min_nanwiktionary,13,123864
hewikibooks,13,123823
slwiktionary,13,123692
outreachwiki,13,122865
afwiktionary,13,122395
bowiki,13,120744
itwikiversity,13,120135
dsbwiki,13,120020
trwikiquote,13,119956
xmfwiki,13,116976
betawikiversity,13,116927
swwiktionary,13,116085
frrwiki,13,115748
nowikisource,13,115643
nlwikivoyage,13,115525
ugwiki,13,115381
novwiki,13,114471
dvwiki,13,113290
kvwiki,13,112853
fywiktionary,13,112462
ruwikibooks,13,111136
sqwiktionary,13,107510
stqwiki,13,107223
ruwikiversity,13,107197
hywikisource,13,104895
iewiki,13,104372
kywiktionary,13,103799
lnwiki,13,103262
ndswiktionary,13,102607
krcwiki,13,101664
jbowiki,13,100665
jawikibooks,13,100646
jvwiktionary,13,100635
emlwiki,13,100494
extwiki,13,99642
hewikivoyage,13,98641
foundationwiki,13,98550
hewikiquote,13,98104
ptwikivoyage,13,97886
rowikisource,13,96427
fiwikisource,13,96061
zhwikinews,13,93900
nostalgiawiki,13,93121
zeawiki,13,91817
ruewiki,13,91434
piwiki,13,91163
mrjwiki,13,91154
cawikisource,13,90796
wowiki,13,90136
udmwiki,13,89888
brwikisource,13,88592
eowikinews,13,88062
eswikivoyage,13,87729
pdcwiki,13,87714
maiwiki,13,87332
gnwiki,13,86710
hakwiki,13,86579
mswiktionary,13,85716
arcwiki,13,85601
eswikiversity,13,83351
huwikisource,13,83253
mwlwiki,13,82528
ptwikiversity,13,82335
fawikivoyage,13,81011
fiwikibooks,13,80548
fawikiquote,13,80129
zhwikiversity,13,79223
bgwikiquote,13,78429
acewiki,13,77098
azbwiki,13,74872
sawikisource,13,74192
tpiwiki,13,74186
elwikisource,13,73715
lawikisource,13,73486
aywiki,13,73101
myvwiki,13,73079
pswiktionary,13,72466
cawikinews,13,71404
fawikisource,13,71361
skwikiquote,13,71068
nawiki,13,70987
kkwiktionary,13,70138
kawiktionary,13,68515
jawikisource,13,67996
xalwiki,13,67947
kmwiktionary,13,67658
lbwiktionary,13,66368
hawwiki,13,65538
svwikivoyage,13,64046
thwikisource,13,62417
papwiki,13,61805
klwiki,13,60778
skwiktionary,13,60459
vepwiki,13,60459
arwikibooks,13,60214
ukwikisource,13,59739
cuwiki,13,58913
viwikibooks,13,58424
zhwikibooks,13,57863
sdwiki,13,57137
rwwiki,13,57059
cswikiquote,13,56812
nnwiktionary,13,56478
guwikisource,13,56154
gagwiki,13,55304
elwikinews,13,55103
zhwikiquote,13,54734
lezwiki,13,54655
pflwiki,13,54449
arwikinews,13,54227
nlwikisource,13,53637
fawikibooks,13,53438
bswiktionary,13,52458
plwikivoyage,13,52200
cawikiquote,13,51597
avwiki,13,51037
igwiki,13,50900
ttwiktionary,13,50723
koiwiki,13,50290
kabwiki,13,50263
bswikiquote,13,50256
idwikibooks,13,49865
arwikiversity,13,49821
ltwikiquote,13,49748
viwikisource,13,49481
tetwiki,13,48792
pcdwiki,13,48683
bjnwiki,13,48624
srwikisource,13,48500
zhwikivoyage,13,48478
knwikisource,13,48224
nlwikiquote,13,48048
hrwikisource,13,47885
tgwiktionary,13,47343
fiwikinews,13,47244
pagwiki,13,46916
lvwiktionary,13,46275
ukwikiquote,13,45810
cbk_zamwiki,13,45745
vecwikisource,13,45400
cswikiversity,13,44846
sewikimedia,13,44665
tawikinews,13,44418
plwikimedia,13,44406
arwikiquote,13,44306
mdfwiki,13,44228
lowiki,13,42811
fiwikiquote,13,42477
cowiktionary,13,42302
glkwiki,13,41980
trwikisource,13,41873
wikimania2015wiki,13,41565
tywiki,13,41480
huwikiquote,13,40528
angwiktionary,13,40197
svwikibooks,13,39143
rmywiki,13,38762
wikimania2016wiki,13,38424
cawikibooks,13,38088
dawikisource,13,36870
kbdwiki,13,36378
hywikiquote,13,36283
lbewiki,13,36206
gawiktionary,13,36106
azwikisource,13,35972
newiktionary,13,35680
testwikidatawiki,13,35478
srnwiki,13,35318
kgwiki,13,35103
mkwiktionary,13,35070
etwikisource,13,34377
nahwiktionary,13,34287
roa_rupwiki,13,34111
abwiki,13,34029
towiki,13,33408
eewiki,13,33275
svwikinews,13,32929
cdowiki,13,32880
uawikimedia,13,32594
bxrwiki,13,32496
iuwiki,13,32398
smwiktionary,13,32315
pihwiki,13,32092
lrcwiki,13,32032
ruwikimedia,13,31969
smwiki,13,31916
kaawiki,13,31819
brwikimedia,13,31629
bmwiki,13,31301
snwiki,13,30978
pntwiki,13,30874
cswikinews,13,30852
ltgwiki,13,30320
elwikibooks,13,30152
nowikibooks,14,30040
fiwikiversity,14,30023
viwikivoyage,14,29840
chrwiki,14,28774
sswiki,14,28338
iawiktionary,14,28301
azwikiquote,14,28260
idwikisource,14,27862
ukwikinews,14,27668
thwikibooks,14,27048
ikwiki,14,26593
biwiki,14,26113
slwikiquote,14,26094
bewiktionary,14,26026
trwikibooks,14,25995
gotwiki,14,25915
donatewiki,14,25685
slwikiversity,14,25614
nlwikimedia,14,25489
zuwiki,14,25460
eowikisource,14,25211
kowikibooks,14,25077
hawiki,14,24959
rowikinews,14,24422
viwikiquote,14,24225
csbwiktionary,14,23850
sqwikibooks,14,23828
crwiki,14,22984
elwikiversity,14,22732
kawikiquote,14,21944
hewikinews,14,21636
zawiki,14,21386
cswikibooks,14,21084
tswiki,14,20945
elwikiquote,14,20663
anwiktionary,14,20464
jawikiquote,14,20237
iswikibooks,14,19773
ugwiktionary,14,19452
kowikiquote,14,18765
bswikinews,14,18191
eowikiquote,14,18100
bnwiktionary,14,18029
nsowiki,14,17923
xhwiki,14,17849
dzwiki,14,17722
urwiktionary,14,17310
rowikibooks,14,17271
chywiki,14,17248
orwikisource,14,17177
nowikiquote,14,17067
elwikivoyage,14,16988
bewikisource,14,16917
hiwikiversity,14,16806
pnbwiktionary,14,16756
ltwikibooks,14,16592
omwiki,14,16297
kowikinews,14,16284
dawikibooks,14,16137
svwikiquote,14,15946
svwikiversity,14,15602
hrwikiquote,14,15524
wowiktionary,14,15473
tkwiktionary,14,15456
ffwiki,14,15413
nowikinews,14,15325
jamwiki,14,15262
vecwiktionary,14,15099
eowikibooks,14,15075
rowikivoyage,14,15061
lgwiki,14,14917
mkwikisource,14,14329
glwikibooks,14,14306
kiwiki,14,13895
tnwiki,14,13724
sdwiktionary,14,13652
glwikiquote,14,13646
stwiki,14,13526
azwikibooks,14,13486
ukwikivoyage,14,13359
klwiktionary,14,13358
tyvwiki,14,13343
yiwikisource,14,13334
mlwikiquote,14,13059
tcywiki,14,12985
sawikiquote,14,12885
tumwiki,14,12852
mrwiktionary,14,12805
skwikibooks,14,12781
nnwikiquote,14,12746
gdwiktionary,14,12628
idwikiquote,14,12619
rowikiquote,14,12596
sgwiki,14,12367
bgwikinews,14,12289
ukwikibooks,14,12278
hrwikibooks,14,12074
hsbwiktionary,14,12050
chwiki,14,11876
iswikisource,14,11751
fjwiki,14,11731
guwiktionary,14,11639
tiwiki,14,11598
rnwiki,14,11441
nywiki,14,11323
tewikiquote,14,11302
vewiki,14,11107
tlwikibooks,14,11029
akwiki,14,10796
thwikiquote,14,10683
mlwikibooks,14,10597
guwikiquote,14,10547
kowikiversity,14,10535
dawikiquote,14,10477
hiwikiquote,14,10459
mrwikisource,14,10251
glwikisource,14,9848
slwikibooks,14,9713
sowiktionary,14,9671
fowiktionary,14,9667
nowikimedia,14,9629
twwiki,14,9586
tawikibooks,14,9543
amwiktionary,14,9319
siwiktionary,14,9041
bewikimedia,14,9032
kawikibooks,14,8723
bnwikibooks,14,8616
srwikiquote,14,8568
tawikiquote,14,8540
yiwiktionary,14,8532
euwikiquote,14,8361
stwiktionary,14,8353
mtwiktionary,14,8262
etwikiquote,14,8253
bgwikibooks,14,7999
bswikisource,14,7852
aswikisource,14,7818
jawikiversity,14,7741
srwikibooks,14,7659
bgwikisource,14,7646
sqwikinews,14,7371
cawikimedia,14,7204
cowikimedia,14,7126
pawikisource,14,7050
roa_rupwiktionary,14,6948
newikibooks,14,6663
pawiktionary,14,6543
miwiktionary,14,6453
sahwikisource,14,6156
iewiktionary,14,6128
siwikibooks,14,6117
gnwiktionary,14,6075
kswiki,14,6016
lawikiquote,14,5940
iswikiquote,14,5888
liwikisource,14,5816
gvwiktionary,14,5684
